code,name,mode,n_days,strategy_return,buyhold_return,sharpe,corr_signal_nextday,corr_signal_nextopen,corr_feat_vs_nextopen,pct_buy_days
000001,平安银行,flow_pure,115,0.022560,-0.080790,0.296178,0.017875,-0.118645,-0.067982,13.913043
000001,平安银行,vw_pure,115,0.019004,-0.080790,0.299159,0.108041,-0.049551,-0.079100,16.521739
000001,平安银行,open30_pure,115,-0.045941,-0.080790,-1.027807,0.100716,0.046065,0.034103,24.347826
000001,平安银行,big_pure,115,0.057843,-0.080790,0.951597,0.067291,0.021641,-0.068177,7.826087
000001,平安银行,delta_pure,115,-0.056045,-0.080790,-1.246528,0.016443,-0.032455,-0.112786,20.000000
000001,平安银行,tail_pure,115,0.007462,-0.080790,0.040834,0.093114,-0.150605,-0.124774,26.956522
000001,平安银行,chg_pure,115,-0.046531,-0.080790,-0.951633,0.003996,0.027547,-0.097244,49.565217
000001,平安银行,flow_delta,115,-0.002623,-0.080790,-0.184784,0.024288,-0.090056,-0.067982,20.000000
000001,平安银行,intensity,115,0.023617,-0.080790,0.341752,0.103769,-0.033825,-0.067982,12.173913
000001,平安银行,vw7,115,-0.031527,-0.080790,-0.910689,-0.012818,-0.173494,-0.079100,39.130435
000001,平安银行,delta7,115,-0.057395,-0.080790,-1.475902,-0.042846,-0.186301,-0.112786,40.000000
000001,平安银行,big7,115,-0.035870,-0.080790,-1.013024,-0.024962,-0.186292,-0.068177,39.130435
000001,平安银行,contra,115,0.022560,-0.080790,0.296178,0.017875,-0.118645,-0.067982,13.913043
000001,平安银行,open30_gap,115,-0.045941,-0.080790,-1.027807,0.100716,0.046065,0.034103,24.347826
000001,平安银行,combo,115,-0.021281,-0.080790,-0.645946,0.051233,-0.194721,-0.079100,24.347826
000001,平安银行,volatile_flow,115,-0.015192,-0.080790,-0.365182,0.050496,-0.200837,-0.067982,33.913043
000333,美的集团,flow_pure,115,0.000000,0.030816,0.000000,0.032977,-0.011937,0.031732,0.000000
000333,美的集团,vw_pure,115,-0.050599,0.030816,-0.869557,0.085862,-0.043298,-0.112451,5.217391
000333,美的集团,open30_pure,115,-0.111335,0.030816,-2.850412,-0.059416,-0.077601,-0.057834,3.478261
000333,美的集团,big_pure,115,-0.048810,0.030816,-2.215744,0.068154,-0.082713,-0.165271,4.347826
000333,美的集团,delta_pure,115,-0.107579,0.030816,-2.389749,-0.087833,-0.093296,-0.096544,6.086957
000333,美的集团,tail_pure,115,-0.040922,0.030816,-1.134968,-0.046981,-0.025169,0.005007,7.826087
000333,美的集团,chg_pure,115,0.018159,0.030816,0.201340,0.005398,0.044625,0.058930,49.565217
000333,美的集团,flow_delta,115,-0.086529,0.030816,-2.693225,-0.062790,-0.084412,0.031732,1.739130
000333,美的集团,intensity,115,-0.010165,0.030816,-3.253946,0.001340,-0.014762,0.031732,1.739130
000333,美的集团,vw7,115,-0.023186,0.030816,-0.417659,-0.058075,-0.206412,-0.112451,53.043478
000333,美的集团,delta7,115,-0.029780,0.030816,-0.526146,-0.059018,-0.208937,-0.096544,53.043478
000333,美的集团,big7,115,-0.017366,0.030816,-0.328861,-0.058060,-0.218025,-0.165271,52.173913
000333,美的集团,contra,115,0.000000,0.030816,0.000000,0.032977,-0.011937,0.031732,0.000000
000333,美的集团,open30_gap,115,-0.111335,0.030816,-2.850412,-0.059416,-0.077601,-0.057834,3.478261
000333,美的集团,combo,115,-0.045115,0.030816,-0.778475,-0.053614,-0.229350,-0.112451,45.217391
000333,美的集团,volatile_flow,115,-0.039072,0.030816,-0.601539,-0.058619,-0.160593,0.031732,33.913043
000858,五粮液,flow_pure,115,-0.139041,-0.314180,-3.663645,-0.053107,-0.115619,-0.204578,2.608696
000858,五粮液,vw_pure,115,-0.097857,-0.314180,-1.883082,-0.275890,-0.121549,-0.102035,6.956522
000858,五粮液,open30_pure,115,-0.196244,-0.314180,-3.761693,0.021773,0.028358,-0.041374,2.608696
000858,五粮液,big_pure,115,-0.132425,-0.314180,-4.417012,-0.172589,-0.128839,-0.114648,6.956522
000858,五粮液,delta_pure,115,-0.169044,-0.314180,-3.325597,0.127117,0.039264,0.220056,7.826087
