date,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2018-01-02,600519,415.2,419.05,425.36,405.09,49612,3482407648.0,4.91,1.54,6.36,0.39
2018-01-03,600519,416.7,431.06,436.6,414.94,52019,3713523696.0,5.17,2.87,12.01,0.41
2018-01-04,600519,436.6,452.27,458.7,434.53,72205,5309890304.0,5.61,4.92,21.21,0.57
2018-01-05,600519,456.2,453.56,461.23,443.42,39989,2946493008.0,3.94,0.29,1.29,0.32
2018-01-08,600519,450.22,467.33,471.7,450.22,52205,3899951728.0,4.74,3.04,13.77,0.42
2018-01-09,600519,467.41,497.72,498.2,467.41,64592,5001164544.0,6.59,6.5,30.39,0.51
2018-01-10,600519,500.2,500.91,504.08,488.68,47714,3731993152.0,3.09,0.64,3.19,0.38
2018-01-11,600519,502.2,490.01,503.2,487.2,50656,3942075856.0,3.19,-2.18,-10.9,0.4
2018-01-12,600519,488.97,503.62,504.0,482.22,45988,3577281776.0,4.44,2.78,13.61,0.37
2018-01-15,600519,508.66,500.57,514.26,494.22,52473,4136645488.0,3.98,-0.61,-3.05,0.42
2018-01-16,600519,495.68,488.14,503.81,483.2,65428,5084966144.0,4.12,-2.48,-12.43,0.52
2018-01-17,600519,485.2,463.13,489.2,453.71,90710,6835580416.0,7.27,-5.12,-25.01,0.72
2018-01-18,600519,463.13,465.94,480.2,459.29,58979,4443031296.0,4.51,0.61,2.81,0.47
2018-01-19,600519,468.1,465.38,474.1,454.22,50926,3818021984.0,4.27,-0.12,-0.56,0.41
2018-01-22,600519,467.01,488.84,489.2,467.01,67127,5129674752.0,4.77,5.04,23.46,0.53
2018-01-23,600519,493.01,488.98,495.2,483.8,49549,3836387696.0,2.33,0.03,0.14,0.39
2018-01-24,600519,491.64,479.66,491.66,473.8,43299,3311348768.0,3.65,-1.91,-9.32,0.34
2018-01-25,600519,476.2,484.36,491.2,466.2,50041,3821875040.0,5.21,0.98,4.7,0.4
2018-01-26,600519,482.44,492.42,492.6,479.2,43978,3389953776.0,2.77,1.66,8.06,0.35
2018-01-29,600519,493.96,451.52,494.87,450.2,74536,5637041920.0,9.07,-8.31,-40.9,0.59
2018-01-30,600519,451.2,457.28,463.97,445.22,51911,3852705104.0,4.15,1.28,5.76,0.41
2018-01-31,600519,454.2,479.74,486.91,454.2,60402,4601994752.0,7.15,4.91,22.46,0.48
2018-02-01,600519,482.2,472.93,482.5,468.12,50583,3846421616.0,3.0,-1.42,-6.81,0.4
2018-02-02,600519,467.42,455.6,468.43,440.2,75421,5583742720.0,5.97,-3.66,-17.33,0.6
2018-02-05,600519,442.42,433.43,445.16,420.8,98996,7104095744.0,5.35,-4.87,-22.17,0.79
2018-02-06,600519,418.2,424.06,437.8,418.2,88169,6270888704.0,4.52,-2.16,-9.37,0.7
2018-02-07,600519,435.2,398.63,439.08,397.21,88290,6231141120.0,9.87,-6.0,-25.43,0.7
2018-02-08,600519,397.4,416.19,433.2,397.4,83409,5860233472.0,8.98,4.41,17.56,0.66
2018-02-09,600519,395.2,398.63,405.09,373.2,105578,7160206336.0,7.66,-4.22,-17.56,0.84
2018-02-12,600519,406.2,412.68,420.7,400.4,64180,4466343168.0,5.09,3.52,14.05,0.51
2018-02-13,600519,420.22,427.18,430.02,419.7,53389,3793782384.0,2.5,3.51,14.5,0.43
2018-02-14,600519,435.2,433.65,435.2,427.42,30653,2198728704.0,1.82,1.51,6.47,0.24
2018-02-22,600519,442.5,457.65,459.2,438.44,50765,3717469264.0,4.79,5.53,24.0,0.4
2018-02-23,600519,462.2,457.68,471.76,452.2,38159,2844936752.0,4.27,0.01,0.03,0.3
2018-02-26,600519,462.08,458.71,467.25,448.22,43658,3243216352.0,4.16,0.23,1.03,0.35
2018-02-27,600519,464.2,453.18,471.2,452.42,42602,3181778848.0,4.09,-1.21,-5.53,0.34
2018-02-28,600519,447.2,440.82,457.5,434.2,48331,3522004688.0,5.14,-2.73,-12.36,0.38
