date,code,name,title,body,source,url,provider
2026-06-24,000001,平安银行,中国金茂：非执行董事王葳辞任，杨列辉接任,杨列辉，1971年11月生，曾在中国进出口银行总行工作，2017年6月至2026年5月期间在平安银行（000001）先后担任交通金融事业部副总裁、派驻汽车生态事业部风险总监、总行授信审批部行业风险总监等多个职务，自2026年5月起加入中国平安人寿保险股份有限公司，任总部投资中心风险监控副总经理,财中社,http://finance.eastmoney.com/a/202606243781535171.html,akshare
2026-06-29,000001,平安银行,7.31亿元资金今日流入银行股,1.02 0.24 9080.48 600926 杭州银行 0.61 0.68 8840.48 601288 农业银行 0.81 0.13 7354.38 601166 兴业银行 0.66 0.48 6022.02 600000 浦发银行 -0.34 0.20 4917.04 000001,证券时报网,http://finance.eastmoney.com/a/202606293786684627.html,akshare
2026-06-24,000001,平安银行,银行行业资金流出榜：农业银行等9股净流出资金超5000万元,0.55 -11873.81 601818 光大银行 -2.25 0.66 -8453.96 600000 浦发银行 -4.09 0.32 -7233.11 601658 邮储银行 -2.77 0.27 -5999.58 601009 南京银行 -3.13 0.53 -5787.28 000001,证券时报网,http://finance.eastmoney.com/a/202606243781462536.html,akshare
2026-06-23,000001,平安银行,银行行业资金流入榜：工商银行、农业银行等净流入资金居前,上海银行 1.11 0.40 4198.11 601825 沪农商行 1.33 0.36 3958.13 601577 长沙银行 2.19 0.68 3667.95 600015 华夏银行 1.48 0.55 3574.74 601838 成都银行 1.85 0.64 3243.89 000001,证券时报网,http://finance.eastmoney.com/a/202606233779783438.html,akshare
2026-06-17,000001,平安银行,*ST华幸：平安人寿提名杨列辉为非独立董事候选人,杨列辉，1971年出生，曾任平安银行（000001）交通金融事业部副总裁、平安银行派驻汽车生态事业部风险总监、平安银行总行授信审批部行业风险总监、平安银行总行风险管理部资深风险专家、副首席风险专家，现任平安人寿总部投资中心风险监控副总经理。,财中社,http://finance.eastmoney.com/a/202606173774746488.html,akshare
2026-06-16,000001,平安银行,平安好医生：徐勤获委任首席财务官、董秘兼授权代表,徐勤，48岁，自2026年5月加入本公司并担任总经理助理，于2023年7月加入中国平安（601318/02318），还曾担任平安银行（000001）零售总监，法国兴业银行高级经理等职。,财中社,http://finance.eastmoney.com/a/202606163773090830.html,akshare
2026-06-27,000001,平安银行,供应商提供“虚假材料”的8类典型情形,比如，浙财罚决字〔2025〕第000001号案中，经执法机关核查，供应商提供的李某某的成人高等教育本科学历毕业证书，经学信网查询，该编号证书为专科学历毕业证书，与标书申报的本科学历不符。,中国政府采购报,http://finance.eastmoney.com/a/202606273785397940.html,akshare
2026-06-18,000001,平安银行,银行行业资金流出榜：工商银行、招商银行等净流出资金居前,34419.16 601658 邮储银行 -2.41 0.39 -30662.49 601166 兴业银行 -2.91 0.57 -26279.31 601988 中国银行 -2.69 0.17 -23362.37 601328 交通银行 -3.19 0.95 -19061.32 000001,证券时报网,http://finance.eastmoney.com/a/202606183776183310.html,akshare
2026-06-15,000001,平安银行,银行行业今日净流入资金15.15亿元，招商银行等8股净流入资金超5000万元,0.47 49445.26 601939 建设银行 -2.90 1.97 22803.30 601988 中国银行 -2.54 0.19 17766.48 600016 民生银行 0.00 0.85 12339.50 600926 杭州银行 -1.09 0.62 9758.27 000001,证券时报网,http://finance.eastmoney.com/a/202606153771590022.html,akshare
2026-06-16,000001,平安银行,银行板块持续回调，建行跌2.12%，工行成交27亿，机构：下半年银行股存估值修复空间,股份制银行走势不一，零售根基扎实的招商银行（600036.SH）、兴业银行（601166.SH）、浦发银行（600000.SH）跌幅不足 1%；平安银行（000001.SZ）、中信银行（601998.SH）、民生银行（600016.SH）跌幅小幅扩大，全天仅光大银行维持平盘，成为板块唯一未下跌的标的,时代财经,http://finance.eastmoney.com/a/202606163773320494.html,akshare
