date,code,news_score,n_headlines,bull_hits,bear_hits
2026-04-30,600900,66,2,2,0
2026-05-15,601318,50,1,0,0
2026-05-29,600900,50,1,1,1
2026-06-10,601012,74,1,3,0
2026-06-15,000001,50,1,0,0
2026-06-15,600900,50,1,0,0
2026-06-16,000001,42,2,0,1
2026-06-16,600036,50,1,0,0
2026-06-16,600900,50,1,0,0
2026-06-16,601012,58,2,1,0
2026-06-17,000001,50,1,0,0
2026-06-17,600036,50,1,0,0
2026-06-17,601012,50,1,0,0
2026-06-18,000001,50,1,0,0
2026-06-18,600900,50,1,1,1
2026-06-18,601012,42,2,0,1
2026-06-21,600519,90,4,5,0
2026-06-22,000333,66,1,2,0
2026-06-22,600519,58,1,1,0
2026-06-22,601318,74,2,4,1
2026-06-23,000001,50,1,0,0
2026-06-23,000333,58,1,1,0
2026-06-23,600036,50,1,0,0
2026-06-23,601012,50,1,0,0
2026-06-23,601318,50,1,0,0
2026-06-24,000001,50,2,0,0
2026-06-24,600036,50,2,1,1
2026-06-24,600900,50,1,0,0
2026-06-24,601012,50,1,0,0
2026-06-24,601318,50,2,1,1
2026-06-25,600036,50,1,0,0
2026-06-25,600900,50,2,1,1
2026-06-25,601318,50,2,0,0
2026-06-26,000333,58,2,1,0
2026-06-26,000858,50,8,0,0
2026-06-26,600036,42,1,0,1
2026-06-26,600519,66,2,2,0
2026-06-26,600900,50,1,0,0
2026-06-26,601012,58,1,1,0
2026-06-26,601318,50,1,1,1
2026-06-27,000001,50,1,0,0
2026-06-27,000858,50,1,0,0
2026-06-27,600519,50,2,0,0
2026-06-27,601012,34,1,0,2
2026-06-28,600036,42,1,0,1
2026-06-29,000001,50,1,0,0
2026-06-29,000333,74,6,3,0
2026-06-29,000858,74,1,3,0
2026-06-29,600036,58,2,2,1
2026-06-29,600519,74,1,3,0
2026-06-29,601318,50,1,0,0
