date,code,day_buy_pct,day_sell_pct,vw_buy_pct,vw_sell_pct,open30_buy_pct,am_buy_pct,pm_buy_pct,tail_buy_pct,am_pm_delta,big_buy_pct,big_n_ticks,flow_chg,n_ticks
2026-01-05,000001,50.59,49.14,50.52,49.48,49.66,52.57,49.45,45.89,3.12,45.33,1681,0.00,4400
2026-01-05,000333,45.85,48.92,44.34,55.66,45.92,43.91,48.15,46.85,-4.24,42.02,1147,0.00,4720
2026-01-05,000858,45.21,50.89,56.56,43.44,44.26,45.02,46.74,40.97,-1.72,58.95,419,0.00,4720
2026-01-05,600036,47.57,49.18,51.09,48.91,44.50,47.75,46.11,51.94,1.64,46.77,2367,0.00,4711
2026-01-05,600519,49.95,48.48,62.60,37.40,50.50,52.25,49.29,42.13,2.96,81.48,81,0.00,4641
2026-01-05,600900,55.10,44.23,50.49,49.51,53.00,54.36,57.39,51.02,-3.03,53.44,1802,0.00,4719
2026-01-05,601012,53.93,45.24,53.61,46.39,52.50,55.41,52.99,50.83,2.42,53.26,2454,0.00,4728
2026-01-05,601318,51.31,44.39,55.50,44.50,48.67,51.58,53.28,43.62,-1.69,50.71,3153,0.00,4744
2026-01-06,000001,53.84,45.84,64.49,35.51,57.43,53.84,57.27,42.78,-3.43,54.24,1995,3.25,4625
2026-01-06,000333,46.58,48.27,46.84,53.16,48.75,46.12,46.67,48.52,-0.56,46.61,1401,0.73,4723
2026-01-06,000858,47.87,47.68,51.70,48.30,45.33,47.73,48.64,46.08,-0.91,53.51,299,2.66,4673
2026-01-06,600036,44.12,51.83,49.45,50.55,42.26,46.53,41.94,40.85,4.59,47.43,2490,-3.45,4737
2026-01-06,600519,51.24,48.17,52.57,47.43,50.00,50.93,52.06,50.20,-1.14,47.06,17,1.29,4372
2026-01-06,600900,60.21,38.95,58.47,41.53,59.93,58.64,62.56,59.44,-3.92,58.09,1687,5.11,4680
2026-01-06,601012,49.17,49.31,52.04,47.96,53.24,48.92,50.83,44.73,-1.92,48.88,3347,-4.76,4743
2026-01-06,601318,46.49,48.56,50.31,49.69,54.33,46.06,48.06,43.44,-1.99,46.70,3655,-4.82,4743
2026-01-07,000001,35.88,63.06,46.28,53.72,38.19,35.38,36.86,35.07,-1.48,36.46,1492,-17.96,4426
2026-01-07,000333,44.50,50.79,46.84,53.16,41.10,45.68,43.40,43.15,2.28,46.11,1195,-2.08,4708
2026-01-07,000858,44.21,50.98,42.93,57.07,46.50,46.31,43.26,38.40,3.04,43.18,176,-3.66,4598
2026-01-07,600036,43.66,54.03,39.86,60.14,39.13,42.22,43.10,52.13,-0.87,40.50,2741,-0.46,4723
2026-01-07,600519,47.93,51.43,50.15,49.85,50.77,50.22,46.23,43.79,3.99,40.00,10,-3.31,4062
2026-01-07,600900,51.34,48.10,43.63,56.37,49.58,51.12,48.38,62.22,2.74,47.29,1571,-8.87,4690
2026-01-07,601012,43.47,55.63,44.36,55.64,49.08,47.92,39.03,38.45,8.88,44.44,3148,-5.70,4744
2026-01-07,601318,45.23,50.65,50.55,49.45,46.50,47.37,42.00,46.77,5.37,46.69,2853,-1.26,4742
2026-01-08,000001,48.82,50.78,36.09,63.91,50.09,46.13,52.92,47.10,-6.79,45.27,1873,12.94,4523
2026-01-08,000333,43.03,53.58,43.91,56.09,47.59,42.30,43.03,46.28,-0.73,45.51,824,-1.47,4666
2026-01-08,000858,47.50,49.37,46.77,53.23,43.91,46.58,47.49,51.79,-0.91,48.09,183,3.29,4602
2026-01-08,600036,53.66,44.48,42.80,57.20,54.33,52.23,54.31,57.86,-2.08,50.69,2762,10.00,4741
2026-01-08,600519,48.67,50.05,44.51,55.49,54.09,45.90,49.94,56.85,-4.04,17.65,17,0.74,4272
2026-01-08,600900,60.60,39.04,55.46,44.54,59.67,56.43,64.82,65.11,-8.39,57.89,1185,9.26,4629
2026-01-08,601012,47.34,51.54,52.40,47.60,48.50,49.94,44.23,46.40,5.70,48.86,3076,3.87,4736
2026-01-08,601318,45.76,50.30,48.73,51.27,40.00,44.91,45.22,51.39,-0.31,46.62,3728,0.53,4742
2026-01-09,000001,54.29,44.89,42.11,57.89,52.61,53.73,55.61,52.58,-1.88,51.54,1845,5.47,4529
2026-01-09,000333,49.46,46.89,53.26,46.74,43.09,45.91,51.96,57.22,-6.05,50.64,944,6.43,4685
2026-01-09,000858,51.04,44.00,49.90,50.10,50.42,50.85,49.38,57.25,1.47,48.34,331,3.54,4598
2026-01-09,600036,50.53,45.74,43.02,56.98,41.83,48.21,52.06,56.01,-3.85,46.50,2355,-3.13,4742
2026-01-09,600519,54.35,45.00,57.70,42.30,60.27,55.40,52.94,53.78,2.46,77.78,9,5.68,3987
2026-01-09,600900,56.20,43.18,51.93,48.07,52.00,55.20,57.54,56.40,-2.34,53.89,1425,-4.40,4699
2026-01-09,601012,54.76,43.91,48.97,51.03,47.92,49.46,60.69,58.96,-11.23,54.28,4145,7.42,4744
2026-01-09,601318,47.60,49.41,47.76,52.24,45.17,47.12,48.56,46.58,-1.43,46.53,4077,1.84,4744
2026-01-12,000001,57.71,41.61,49.65,50.35,50.34,56.90,62.41,45.94,-5.52,55.36,1716,3.42,4571
2026-01-12,000333,46.98,48.61,43.76,56.24,42.76,47.96,46.47,44.55,1.49,44.34,1342,-2.48,4738
2026-01-12,000858,46.14,49.15,59.56,40.44,45.92,46.49,46.89,42.14,-0.40,59.83,478,-4.90,4688
2026-01-12,600036,55.26,42.25,53.48,46.52,47.42,54.33,57.60,51.76,-3.27,52.87,2563,4.73,4727
2026-01-12,600519,48.05,51.28,51.51,48.49,49.66,49.26,49.44,38.72,-0.18,42.31,26,-6.30,4189
2026-01-12,600900,55.12,43.94,57.64,42.36,50.33,56.83,53.74,52.41,3.09,54.43,1896,-1.08,4706
2026-01-12,601012,51.52,47.15,56.73,43.27,52.33,50.58,53.00,50.83,-2.42,51.81,4042,-3.24,4744
2026-01-12,601318,46.94,49.56,44.44,55.56,43.83,47.12,47.61,43.99,-0.49,45.89,3918,-0.66,4744
2026-01-13,000001,37.02,62.78,38.26,61.74,36.00,30.37,41.31,53.17,-10.94,37.50,1824,-20.69,4562
2026-01-13,000333,43.96,53.02,45.50,54.50,45.76,41.86,46.08,46.31,-4.22,44.58,2481,-3.02,4738
2026-01-13,000858,41.54,53.33,44.23,55.77,41.26,41.45,41.30,42.75,0.14,41.71,422,-4.60,4637
2026-01-13,600036,54.53,41.47,52.71,47.29,51.50,53.90,53.52,60.93,0.39,53.32,2909,-0.73,4731
2026-01-13,600519,46.39,52.50,42.35,57.65,44.31,45.42,45.33,54.12,0.09,18.18,22,-1.66,4223
2026-01-13,600900,55.38,43.85,48.03,51.97,50.50,54.51,55.29,59.48,-0.78,53.91,1677,0.26,4686
2026-01-13,601012,49.60,48.55,44.92,55.08,48.50,51.92,46.61,49.54,5.31,49.69,4021,-1.92,4744
2026-01-13,601318,46.14,49.85,50.26,49.74,53.91,47.67,44.53,44.92,3.14,46.56,3185,-0.80,4744
2026-01-14,000001,52.97,46.75,43.61,56.39,55.43,55.88,51.02,47.22,4.86,51.70,2300,15.95,4616
2026-01-14,000333,44.00,52.12,45.77,54.23,57.24,47.37,40.11,41.88,7.26,44.25,1670,0.04,4741
2026-01-14,000858,46.75,47.85,41.87,58.13,49.00,47.26,44.74,51.48,2.52,36.62,467,5.21,4708
2026-01-14,600036,53.48,43.33,43.97,56.03,47.42,49.87,56.36,59.89,-6.48,53.31,3343,-1.05,4738
2026-01-14,600519,51.43,47.70,45.23,54.77,54.05,54.84,47.98,49.06,6.86,28.95,38,5.04,4453
2026-01-14,600900,59.75,39.67,41.56,58.44,56.17,57.66,61.09,64.70,-3.43,59.13,3340,4.37,4731
2026-01-14,601012,45.22,53.41,48.54,51.46,48.09,42.79,49.03,43.62,-6.24,45.69,4027,-4.38,4744
2026-01-14,601318,47.50,48.98,43.11,56.89,46.00,46.91,49.69,43.07,-2.78,44.88,3302,1.36,4741
2026-01-15,000001,40.52,59.31,42.03,57.97,47.99,37.98,44.77,38.08,-6.79,38.94,2057,-12.45,4534
2026-01-15,000333,40.66,56.14,46.13,53.87,47.75,42.41,40.37,33.83,2.05,45.16,1032,-3.34,4717
2026-01-15,000858,44.16,51.07,41.14,58.86,43.26,43.28,45.32,44.61,-2.04,38.10,252,-2.59,4674
2026-01-15,600036,58.48,38.65,51.66,48.34,56.33,56.20,62.50,55.45,-6.30,53.95,2871,5.00,4740
2026-01-15,600519,43.49,54.99,37.79,62.21,46.53,45.39,43.05,36.72,2.33,15.00,20,-7.94,4355
2026-01-15,600900,56.77,42.28,48.01,51.99,58.00,59.48,55.86,47.87,3.62,53.72,2742,-2.98,4735
2026-01-15,601012,50.36,48.21,47.05,52.95,49.58,49.83,52.98,44.18,-3.14,49.37,3255,5.14,4738
2026-01-15,601318,46.13,49.65,48.37,51.63,49.00,43.43,51.33,40.85,-7.90,43.15,2874,-1.37,4743
2026-01-16,000001,45.31,54.43,35.82,64.18,35.56,40.55,49.46,52.41,-8.91,41.34,2557,4.79,4608
2026-01-16,000333,40.59,54.68,44.41,55.59,42.93,41.62,38.39,43.33,3.22,42.40,1177,-0.07,4720
2026-01-16,000858,43.56,52.41,40.32,59.68,41.00,43.25,43.28,45.93,-0.03,37.69,329,-0.60,4711
2026-01-16,600036,52.45,44.52,46.08,53.92,54.08,52.77,52.11,52.50,0.66,48.24,3408,-6.03,4742
2026-01-16,600519,48.24,50.94,37.18,62.82,37.00,48.30,49.08,45.51,-0.78,15.00,40,4.75,4621
2026-01-16,600900,57.04,41.19,41.54,58.46,55.33,57.07,58.31,53.05,-1.24,53.95,3735,0.27,4742
2026-01-16,601012,46.88,51.56,48.47,51.53,42.00,47.31,47.92,41.77,-0.61,45.46,3572,-3.48,4740
2026-01-16,601318,45.04,50.86,42.47,57.53,42.83,45.58,42.72,50.46,2.85,43.99,3301,-1.09,4740
2026-01-19,000001,37.52,62.21,35.88,64.12,58.01,39.60,36.05,33.40,3.54,32.42,2048,-7.79,4581
2026-01-19,000333,41.33,55.46,44.55,55.45,46.82,42.14,40.48,40.78,1.66,41.49,964,0.74,4663
2026-01-19,000858,46.59,50.27,44.40,55.60,49.42,45.19,47.85,48.89,-2.66,45.57,316,3.03,4711
2026-01-19,600036,56.83,39.76,50.73,49.27,50.42,53.30,60.96,58.78,-7.66,51.88,2876,4.38,4739
2026-01-19,600519,45.79,52.76,35.09,64.91,56.48,45.57,45.97,46.50,-0.40,9.09,22,-2.45,4418
2026-01-19,600900,55.76,42.50,55.60,44.40,63.17,55.15,53.91,64.75,1.24,51.36,2537,-1.28,4711
2026-01-19,601012,46.39,51.88,47.82,52.18,46.50,45.39,45.18,54.90,0.22,46.24,3367,-0.49,4736
