date,code,time,price,volume,bs
2026-01-14,000001,14:06:33,11.3800,34,2
2026-01-14,000001,14:06:36,11.3900,58,1
2026-01-14,000001,14:06:39,11.3800,114,2
2026-01-14,000001,14:06:42,11.3800,110,2
2026-01-14,000001,14:06:45,11.3900,72,1
2026-01-14,000001,14:06:48,11.3800,27,2
2026-01-14,000001,14:06:51,11.3900,83,1
2026-01-14,000001,14:06:54,11.3800,178,2
2026-01-14,000001,14:06:57,11.3800,50,2
2026-01-14,000001,14:07:00,11.3800,65,2
2026-01-14,000001,14:07:03,11.3900,38,1
2026-01-14,000001,14:07:06,11.3800,439,2
2026-01-14,000001,14:07:09,11.3800,127,2
2026-01-14,000001,14:07:12,11.3800,700,2
2026-01-14,000001,14:07:15,11.3900,560,1
2026-01-14,000001,14:07:18,11.3800,335,2
2026-01-14,000001,14:07:21,11.3900,172,1
2026-01-14,000001,14:07:24,11.3900,193,1
2026-01-14,000001,14:07:27,11.3900,271,1
2026-01-14,000001,14:07:30,11.3800,180,2
2026-01-14,000001,14:07:33,11.3900,408,1
2026-01-14,000001,14:07:36,11.3900,167,1
2026-01-14,000001,14:07:39,11.3800,155,2
2026-01-14,000001,14:07:42,11.3800,41,2
2026-01-14,000001,14:07:45,11.3900,79,1
2026-01-14,000001,14:07:48,11.3800,131,2
2026-01-14,000001,14:07:51,11.3800,32,2
2026-01-14,000001,14:07:54,11.3800,240,2
2026-01-14,000001,14:07:57,11.3800,333,2
2026-01-14,000001,14:08:00,11.3800,43,2
2026-01-14,000001,14:08:03,11.3800,66,2
2026-01-14,000001,14:08:06,11.3800,379,2
2026-01-14,000001,14:08:09,11.3800,148,2
2026-01-14,000001,14:08:12,11.3800,33,2
2026-01-14,000001,14:08:15,11.3800,4,2
2026-01-14,000001,14:08:18,11.3900,217,1
2026-01-14,000001,14:08:21,11.3900,63,1
2026-01-14,000001,14:08:24,11.3900,222,1
2026-01-14,000001,14:08:27,11.3900,88,1
2026-01-14,000001,14:08:30,11.3900,111,1
2026-01-14,000001,14:08:33,11.3900,78,1
2026-01-14,000001,14:08:36,11.3800,1234,2
2026-01-14,000001,14:08:39,11.3900,207,1
2026-01-14,000001,14:08:42,11.3900,28,1
2026-01-14,000001,14:08:45,11.3800,82,2
2026-01-14,000001,14:08:48,11.3800,10,2
2026-01-14,000001,14:08:51,11.3900,20,1
2026-01-14,000001,14:08:54,11.3800,744,2
2026-01-14,000001,14:08:57,11.3800,102,2
2026-01-14,000001,14:09:00,11.3900,53,1
2026-01-14,000001,14:09:03,11.3800,18,2
2026-01-14,000001,14:09:06,11.3900,131,1
2026-01-14,000001,14:09:09,11.3900,83,1
2026-01-14,000001,14:09:12,11.3800,79,2
2026-01-14,000001,14:09:15,11.3800,238,2
2026-01-14,000001,14:09:18,11.3900,106,1
2026-01-14,000001,14:09:21,11.3800,73,2
2026-01-14,000001,14:09:24,11.3900,17,1
2026-01-14,000001,14:09:27,11.3900,3,1
2026-01-14,000001,14:09:30,11.3900,211,1
2026-01-14,000001,14:09:33,11.3800,21,2
2026-01-14,000001,14:09:36,11.3800,62,2
2026-01-14,000001,14:09:39,11.3800,117,2
2026-01-14,000001,14:09:42,11.3900,54,1
2026-01-14,000001,14:09:48,11.3900,2607,1
2026-01-14,000001,14:09:51,11.3900,756,2
2026-01-14,000001,14:09:54,11.3800,270,2
2026-01-14,000001,14:09:57,11.3800,48,2
2026-01-14,000001,14:10:00,11.3800,30,2
2026-01-14,000001,14:10:03,11.3900,18,1
2026-01-14,000001,14:10:06,11.3900,502,1
2026-01-14,000001,14:10:09,11.3900,144,1
2026-01-14,000001,14:10:12,11.3900,17,1
2026-01-14,000001,14:10:15,11.3900,100,1
2026-01-14,000001,14:10:18,11.3800,28,2
2026-01-14,000001,14:10:21,11.3900,147,1
2026-01-14,000001,14:10:24,11.3800,82,2
2026-01-14,000001,14:10:27,11.3900,108,1
2026-01-14,000001,14:10:30,11.3900,36,1
2026-01-14,000001,14:10:33,11.3800,247,2
2026-01-14,000001,14:10:36,11.3900,48,1
2026-01-14,000001,14:10:39,11.3800,15,2
2026-01-14,000001,14:10:42,11.3900,95,1
2026-01-14,000001,14:10:45,11.3900,114,1
2026-01-14,000001,14:10:48,11.3900,1837,1
2026-01-14,000001,14:10:51,11.3900,501,1
2026-01-14,000001,14:10:54,11.3900,378,1
2026-01-14,000001,14:10:57,11.3900,74,1
2026-01-14,000001,14:11:00,11.3900,13,1
2026-01-14,000001,14:11:03,11.3900,19,1
2026-01-14,000001,14:11:06,11.3800,57,2
2026-01-14,000001,14:11:09,11.3900,368,1
2026-01-14,000001,14:11:12,11.3900,38,1
2026-01-14,000001,14:11:15,11.3800,27,2
2026-01-14,000001,14:11:18,11.3900,102,1
2026-01-14,000001,14:11:21,11.3800,19,2
2026-01-14,000001,14:11:24,11.3900,1020,1
2026-01-14,000001,14:11:27,11.3900,219,1
2026-01-14,000001,14:11:30,11.3900,47,1
2026-01-14,000001,14:11:33,11.3800,163,2
2026-01-14,000001,14:11:36,11.3900,73,1
2026-01-14,000001,14:11:39,11.3900,29,1
2026-01-14,000001,14:11:42,11.3900,221,1
2026-01-14,000001,14:11:45,11.3900,431,1
2026-01-14,000001,14:11:48,11.3900,153,4
2026-01-14,000001,14:11:51,11.3900,639,1
2026-01-14,000001,14:11:54,11.3800,163,2
2026-01-14,000001,14:11:57,11.3900,70,1
2026-01-14,000001,14:12:00,11.3900,34,1
2026-01-14,000001,14:12:03,11.3800,404,2
2026-01-14,000001,14:12:06,11.3800,1919,2
2026-01-14,000001,14:12:09,11.3800,543,2
2026-01-14,000001,14:12:12,11.3900,155,1
2026-01-14,000001,14:12:15,11.3900,22,1
2026-01-14,000001,14:12:18,11.3900,73,1
2026-01-14,000001,14:12:21,11.3800,176,2
2026-01-14,000001,14:12:24,11.3900,24,1
2026-01-14,000001,14:12:27,11.3900,28,1
2026-01-14,000001,14:12:30,11.3900,5,1
2026-01-14,000001,14:12:33,11.3900,17,1
2026-01-14,000001,14:12:36,11.3900,127,1
2026-01-14,000001,14:12:39,11.3900,278,1
2026-01-14,000001,14:12:42,11.3800,118,2
2026-01-14,000001,14:12:45,11.3800,154,2
2026-01-14,000001,14:12:48,11.3800,134,2
2026-01-14,000001,14:12:51,11.3800,63,2
2026-01-14,000001,14:12:54,11.3800,24,2
2026-01-14,000001,14:12:57,11.3800,82,2
2026-01-14,000001,14:13:00,11.3900,5110,1
2026-01-14,000001,14:13:03,11.3800,611,2
2026-01-14,000001,14:13:06,11.3900,533,1
2026-01-14,000001,14:13:09,11.3900,141,1
2026-01-14,000001,14:13:12,11.3900,43,1
2026-01-14,000001,14:13:15,11.3900,633,1
2026-01-14,000001,14:13:18,11.3900,164,2
2026-01-14,000001,14:13:21,11.3900,134,1
2026-01-14,000001,14:13:24,11.3900,380,2
2026-01-14,000001,14:13:27,11.3900,69,1
2026-01-14,000001,14:13:30,11.3800,74,2
2026-01-14,000001,14:13:33,11.3800,17,2
2026-01-14,000001,14:13:36,11.3900,2,1
2026-01-14,000001,14:13:39,11.3900,68,1
2026-01-14,000001,14:13:42,11.3900,157,1
2026-01-14,000001,14:13:45,11.3900,72,1
2026-01-14,000001,14:13:48,11.4000,140,1
2026-01-14,000001,14:13:51,11.3800,124,2
2026-01-14,000001,14:13:54,11.3900,66,1
2026-01-14,000001,14:13:57,11.3900,409,1
2026-01-14,000001,14:14:00,11.3900,419,2
2026-01-14,000001,14:14:03,11.3900,79,2
2026-01-14,000001,14:14:06,11.3900,45,2
2026-01-14,000001,14:14:09,11.3900,13,2
2026-01-14,000001,14:14:12,11.3900,257,2
2026-01-14,000001,14:14:15,11.3900,72,2
2026-01-14,000001,14:14:18,11.3900,23,2
2026-01-14,000001,14:14:21,11.4000,17,1
2026-01-14,000001,14:14:24,11.3900,13,2
2026-01-14,000001,14:14:27,11.3900,55,2
2026-01-14,000001,14:14:30,11.3900,8,2
2026-01-14,000001,14:14:33,11.3900,11,2
2026-01-14,000001,14:14:36,11.4000,76,1
2026-01-14,000001,14:14:39,11.3900,113,2
2026-01-14,000001,14:14:42,11.3900,93,2
2026-01-14,000001,14:14:45,11.3900,52,2
2026-01-14,000001,14:14:48,11.3900,48,2
2026-01-14,000001,14:14:51,11.4000,61,1
2026-01-14,000001,14:14:54,11.4000,63,1
2026-01-14,000001,14:14:57,11.3900,6,2
2026-01-14,000001,14:15:03,11.4000,9,1
2026-01-14,000001,14:15:06,11.4000,29,1
2026-01-14,000001,14:15:09,11.3900,31,2
2026-01-14,000001,14:15:12,11.3900,137,2
2026-01-14,000001,14:15:15,11.4000,52,1
2026-01-14,000001,14:15:18,11.4000,30,1
2026-01-14,000001,14:15:21,11.3900,15,2
2026-01-14,000001,14:15:24,11.3900,174,2
2026-01-14,000001,14:15:27,11.3900,18,2
2026-01-14,000001,14:15:30,11.4000,8,1
2026-01-14,000001,14:15:33,11.3900,93,2
2026-01-14,000001,14:15:36,11.3900,78,2
2026-01-14,000001,14:15:39,11.4000,51,1
2026-01-14,000001,14:15:42,11.3800,3121,2
2026-01-14,000001,14:15:45,11.3900,421,1
2026-01-14,000001,14:15:48,11.3900,113,1
2026-01-14,000001,14:15:51,11.3900,247,1
2026-01-14,000001,14:15:54,11.3800,52,2
2026-01-14,000001,14:15:57,11.3900,79,1
2026-01-14,000001,14:16:00,11.3900,195,1
2026-01-14,000001,14:16:03,11.3900,191,1
2026-01-14,000001,14:16:06,11.3800,1414,2
2026-01-14,000001,14:16:09,11.3900,368,1
2026-01-14,000001,14:16:12,11.3900,56,1
2026-01-14,000001,14:16:15,11.3900,8,1
2026-01-14,000001,14:16:18,11.3900,14,1
2026-01-14,000001,14:16:21,11.3900,63,1
2026-01-14,000001,14:16:24,11.3900,377,1
2026-01-14,000001,14:16:27,11.3900,112,1
2026-01-14,000001,14:16:30,11.3900,90,1
2026-01-14,000001,14:16:33,11.3900,173,1
2026-01-14,000001,14:16:36,11.3800,94,2
2026-01-14,000001,14:16:39,11.3900,87,1
2026-01-14,000001,14:16:42,11.3900,30,2
2026-01-14,000001,14:16:45,11.3900,35,2
2026-01-14,000001,14:16:48,11.3900,43,2
2026-01-14,000001,14:16:51,11.3900,465,2
2026-01-14,000001,14:16:54,11.3900,72,1
2026-01-14,000001,14:16:57,11.3900,29,1
2026-01-14,000001,14:17:00,11.3900,28,1
2026-01-14,000001,14:17:03,11.3900,12,1
2026-01-14,000001,14:17:06,11.3900,47,1
2026-01-14,000001,14:17:09,11.3900,79,1
2026-01-14,000001,14:17:12,11.3900,255,1
2026-01-14,000001,14:17:15,11.3900,1147,1
2026-01-14,000001,14:17:18,11.3800,109,2
2026-01-14,000001,14:17:21,11.4000,161,1
2026-01-14,000001,14:17:24,11.4000,40,1
2026-01-14,000001,14:17:27,11.4000,29,1
2026-01-14,000001,14:17:30,11.3900,234,2
2026-01-14,000001,14:17:33,11.4000,37,1
2026-01-14,000001,14:17:36,11.4000,2,1
2026-01-14,000001,14:17:39,11.4000,52,1
2026-01-14,000001,14:17:42,11.3800,61,2
2026-01-14,000001,14:17:45,11.3900,19,1
2026-01-14,000001,14:17:48,11.3900,608,1
2026-01-14,000001,14:17:51,11.3800,149,2
2026-01-14,000001,14:17:54,11.3900,156,1
2026-01-14,000001,14:17:57,11.3900,182,2
2026-01-14,000001,14:18:00,11.3900,158,1
2026-01-14,000001,14:18:03,11.3900,143,1
2026-01-14,000001,14:18:06,11.3900,82,1
2026-01-14,000001,14:18:09,11.3900,1503,1
2026-01-14,000001,14:18:12,11.3900,180,1
2026-01-14,000001,14:18:15,11.3900,192,1
2026-01-14,000001,14:18:18,11.3900,318,1
2026-01-14,000001,14:18:21,11.3900,119,1
2026-01-14,000001,14:18:24,11.3900,138,1
2026-01-14,000001,14:18:27,11.3900,72,2
2026-01-14,000001,14:18:30,11.3800,35,2
2026-01-14,000001,14:18:33,11.3900,15,1
2026-01-14,000001,14:18:36,11.3900,70,1
2026-01-14,000001,14:18:39,11.3800,1736,2
2026-01-14,000001,14:18:42,11.3900,193,1
2026-01-14,000001,14:18:45,11.3800,25,2
2026-01-14,000001,14:18:48,11.3900,161,1
2026-01-14,000001,14:18:51,11.3900,143,1
2026-01-14,000001,14:18:54,11.3900,82,1
2026-01-14,000001,14:18:57,11.3800,7,2
2026-01-14,000001,14:19:00,11.3900,37,1
2026-01-14,000001,14:19:03,11.3900,86,1
2026-01-14,000001,14:19:06,11.3900,112,1
2026-01-14,000001,14:19:09,11.3800,44,2
2026-01-14,000001,14:19:12,11.3800,5,2
2026-01-14,000001,14:19:15,11.3900,60,1
2026-01-14,000001,14:19:18,11.3900,20,1
2026-01-14,000001,14:19:21,11.3800,16,2
2026-01-14,000001,14:19:24,11.3900,249,1
2026-01-14,000001,14:19:27,11.3800,28,2
2026-01-14,000001,14:19:33,11.3900,140,1
2026-01-14,000001,14:19:36,11.3900,19,1
2026-01-14,000001,14:19:39,11.3800,1044,2
2026-01-14,000001,14:19:42,11.3900,110,1
2026-01-14,000001,14:19:45,11.3900,115,1
2026-01-14,000001,14:19:48,11.3800,110,2
2026-01-14,000001,14:19:51,11.3800,67,2
2026-01-14,000001,14:19:54,11.3900,67,1
2026-01-14,000001,14:19:57,11.3800,100,2
2026-01-14,000001,14:20:00,11.3800,541,2
2026-01-14,000001,14:20:03,11.3900,385,1
2026-01-14,000001,14:20:06,11.3900,47,1
2026-01-14,000001,14:20:09,11.3800,70,2
2026-01-14,000001,14:20:12,11.3800,12,2
2026-01-14,000001,14:20:15,11.3800,775,2
2026-01-14,000001,14:20:18,11.3800,126,2
2026-01-14,000001,14:20:21,11.3900,137,1
2026-01-14,000001,14:20:24,11.3800,118,2
2026-01-14,000001,14:20:27,11.3800,27,2
2026-01-14,000001,14:20:30,11.3900,61,1
2026-01-14,000001,14:20:33,11.3800,46,2
2026-01-14,000001,14:20:36,11.3800,1,2
2026-01-14,000001,14:20:39,11.3900,33,1
2026-01-14,000001,14:20:42,11.3900,47,1
2026-01-14,000001,14:20:45,11.3800,219,2
2026-01-14,000001,14:20:48,11.3900,32,1
2026-01-14,000001,14:20:51,11.3900,63,1
2026-01-14,000001,14:20:54,11.3800,70,2
2026-01-14,000001,14:20:57,11.3800,26,2
2026-01-14,000001,14:21:00,11.3900,50,1
2026-01-14,000001,14:21:03,11.3900,246,1
2026-01-14,000001,14:21:06,11.3800,46,2
2026-01-14,000001,14:21:12,11.3800,27,2
2026-01-14,000001,14:21:15,11.3800,72,2
2026-01-14,000001,14:21:18,11.3900,31,1
2026-01-14,000001,14:21:21,11.3900,26,1
2026-01-14,000001,14:21:24,11.3900,96,1
2026-01-14,000001,14:21:27,11.3900,80,1
2026-01-14,000001,14:21:30,11.3900,10,1
2026-01-14,000001,14:21:33,11.3900,1520,1
2026-01-14,000001,14:21:36,11.3900,271,1
2026-01-14,000001,14:21:39,11.3800,128,2
2026-01-14,000001,14:21:42,11.3900,143,1
2026-01-14,000001,14:21:45,11.3900,30,1
2026-01-14,000001,14:21:48,11.3900,38,1
2026-01-14,000001,14:21:51,11.3800,132,2
2026-01-14,000001,14:21:54,11.3900,23,1
2026-01-14,000001,14:22:00,11.3900,22,1
2026-01-14,000001,14:22:03,11.3900,184,1
2026-01-14,000001,14:22:06,11.3900,116,1
2026-01-14,000001,14:22:09,11.3900,161,1
2026-01-14,000001,14:22:12,11.3800,143,2
2026-01-14,000001,14:22:15,11.3900,53,1
2026-01-14,000001,14:22:18,11.3800,45,2
2026-01-14,000001,14:22:21,11.3900,226,1
2026-01-14,000001,14:22:24,11.3900,50,1
2026-01-14,000001,14:22:27,11.3900,18,1
