code,segment,mode,n_days,net_return,sharpe,mdd,trades,ic_n,ic_sx,ic_sy,ic_sxx,ic_syy,ic_sxy
000001,is,v4,1437,0.067814,0.108600,-0.454286,325,1437,-75.000000,0.120045,1397.000000,0.950990,0.343637
000001,oos,v4,600,0.327515,0.598559,-0.182749,129,600,-2.000000,0.380246,582.000000,0.130894,0.104935
000001,is,mom,1437,-0.503543,-0.392955,-0.575048,84,1437,-167.000000,0.120045,1437.000000,0.950990,-0.667667
000001,oos,mom,600,0.093693,0.186558,-0.183305,48,600,38.000000,0.380246,600.000000,0.130894,-0.188272
000001,is,mr,1437,0.867664,0.448887,-0.485234,47,1437,89.000000,0.120045,643.000000,0.950990,-0.262744
000001,oos,mr,600,0.334565,0.746319,-0.165674,19,600,-21.000000,0.380246,205.000000,0.130894,-0.041424
000001,is,bh,1437,-0.291271,0.006209,-0.684980,1,0,0.000000,0.000000,0.000000,0.000000,0.000000
000001,oos,bh,600,0.370817,0.595882,-0.197933,0,0,0.000000,0.000000,0.000000,0.000000,0.000000
000333,is,v4,1397,0.585575,0.357948,-0.447826,309,1397,-6.000000,0.758875,1376.000000,1.296134,-0.002840
000333,oos,v4,600,0.272785,0.507542,-0.167405,138,600,76.000000,0.644703,592.000000,0.161430,-0.125887
000333,is,mom,1397,-0.069449,0.050361,-0.544433,93,1397,-15.000000,0.758875,1397.000000,1.296134,-0.630514
000333,oos,mom,600,0.223160,0.422366,-0.222611,31,600,58.000000,0.644703,600.000000,0.161430,-0.110682
000333,is,mr,1397,1.469545,0.587016,-0.488829,56,1397,-62.000000,0.758875,546.000000,1.296134,1.181340
000333,oos,mr,600,0.402539,0.853755,-0.127633,19,600,-127.000000,0.644703,237.000000,0.161430,0.216616
000333,is,bh,1397,0.151388,0.252313,-0.702008,1,0,0.000000,0.000000,0.000000,0.000000,0.000000
000333,oos,bh,600,0.757734,0.964360,-0.179448,0,0,0.000000,0.000000,0.000000,0.000000,0.000000
000858,is,v4,1437,1.375053,0.552398,-0.510753,309,1437,14.000000,1.577639,1416.000000,1.463172,1.483542
000858,oos,v4,600,0.032469,0.074968,-0.184874,123,600,-92.000000,-0.442761,586.000000,0.202576,0.530986
000858,is,mom,1437,2.044548,0.679431,-0.433875,84,1437,-23.000000,1.577639,1437.000000,1.463172,0.778188
000858,oos,mom,600,-0.155846,-0.387199,-0.248373,34,600,-156.000000,-0.442761,600.000000,0.202576,0.295696
000858,is,mr,1437,-0.045687,0.105097,-0.603691,47,1437,-49.000000,1.577639,667.000000,1.463172,0.005587
000858,oos,mr,600,-0.189979,-0.362472,-0.428364,16,600,108.000000,-0.442761,268.000000,0.202576,-0.358369
000858,is,bh,1437,1.365663,0.511168,-0.637507,1,0,0.000000,0.000000,0.000000,0.000000,0.000000
000858,oos,bh,600,-0.418787,-0.706077,-0.530148,0,0,0.000000,0.000000,0.000000,0.000000,0.000000
600036,is,v4,1437,0.017233,0.082896,-0.514796,333,1437,18.000000,0.598202,1406.000000,0.985788,-1.012326
600036,oos,v4,600,0.602903,1.060743,-0.152650,127,600,60.000000,0.527182,586.000000,0.121558,0.377579
600036,is,mom,1437,-0.443701,-0.287342,-0.541296,94,1437,-19.000000,0.598202,1437.000000,0.985788,-0.489414
600036,oos,mom,600,0.332482,0.636928,-0.162579,38,600,114.000000,0.527182,600.000000,0.121558,-0.034491
600036,is,mr,1437,1.284242,0.575890,-0.381567,53,1437,-30.000000,0.598202,576.000000,0.985788,0.382915
600036,oos,mr,600,0.225374,0.591072,-0.175531,20,600,-31.000000,0.527182,247.000000,0.121558,-0.083598
600036,is,bh,1437,0.136884,0.212637,-0.589796,1,0,0.000000,0.000000,0.000000,0.000000,0.000000
600036,oos,bh,600,0.594571,0.892369,-0.204068,0,0,0.000000,0.000000,0.000000,0.000000,0.000000
600519,is,v4,1437,0.562034,0.346554,-0.460853,319,1437,84.000000,1.758922,1398.000000,0.999511,1.292709
600519,oos,v4,600,-0.004156,-0.019023,-0.222997,143,600,-61.000000,-0.214163,589.000000,0.146882,0.138041
600519,is,mom,1437,1.707415,0.679604,-0.392591,93,1437,97.000000,1.758922,1437.000000,0.999511,0.767649
600519,oos,mom,600,-0.465431,-1.945427,-0.466305,41,600,-84.000000,-0.214163,600.000000,0.146882,-0.667337
600519,is,mr,1437,0.634649,0.371371,-0.383471,41,1437,-142.000000,1.758922,572.000000,0.999511,-0.213986
600519,oos,mr,600,0.491055,0.824610,-0.183045,28,600,77.000000,-0.214163,217.000000,0.146882,0.528345
600519,is,bh,1437,2.480712,0.684188,-0.513599,1,0,0.000000,0.000000,0.000000,0.000000,0.000000
600519,oos,bh,600,-0.249237,-0.442416,-0.292310,0,0,0.000000,0.000000,0.000000,0.000000,0.000000
600900,is,v4,1426,-0.278046,-0.374710,-0.403361,362,1426,81.000000,0.984460,1383.000000,0.344842,-1.539856
600900,oos,v4,600,0.112127,0.263968,-0.106770,140,600,34.000000,0.256174,592.000000,0.056565,-0.271124
600900,is,mom,1426,0.169838,0.132550,-0.235894,113,1426,206.000000,0.984460,1426.000000,0.344842,-0.863749
600900,oos,mom,600,0.244762,0.695115,-0.115816,29,600,16.000000,0.256174,600.000000,0.056565,0.137840
600900,is,mr,1426,0.244150,0.200563,-0.178143,40,1426,-78.000000,0.984460,446.000000,0.344842,0.411162
600900,oos,mr,600,0.007196,-0.101871,-0.178942,19,600,-42.000000,0.256174,254.000000,0.056565,-0.007201
600900,is,bh,1426,1.270988,0.629467,-0.246684,1,0,0.000000,0.000000,0.000000,0.000000,0.000000
600900,oos,bh,600,0.255966,0.568368,-0.156778,0,0,0.000000,0.000000,0.000000,0.000000,0.000000
601012,is,v4,1431,2.521521,0.753852,-0.424612,309,1431,7.000000,1.506878,1407.000000,1.361167,1.330740
601012,oos,v4,600,-0.078606,-0.047095,-0.304496,142,600,-28.000000,-0.382859,576.000000,0.384101,-0.220854
601012,is,mom,1431,2.366363,0.725630,-0.482019,83,1431,15.000000,1.506878,1431.000000,1.361167,1.657628
601012,oos,mom,600,-0.182835,-0.219736,-0.354116,37,600,-60.000000,-0.382859,600.000000,0.384101,0.801841
601012,is,mr,1431,-0.635810,-0.439498,-0.739338,40,1431,-49.000000,1.506878,627.000000,1.361167,-1.477513
601012,oos,mr,600,-0.228303,-0.353790,-0.353353,19,600,74.000000,-0.382859,236.000000,0.384101,-0.106946
601012,is,bh,1431,1.257200,0.495504,-0.717311,1,0,0.000000,0.000000,0.000000,0.000000,0.000000
601012,oos,bh,600,-0.436428,-0.449913,-0.454386,0,0,0.000000,0.000000,0.000000,0.000000,0.000000
601318,is,v4,1437,-0.414414,-0.349413,-0.470210,331,1437,-104.000000,-0.093556,1414.000000,0.758179,-0.416506
601318,oos,v4,600,0.165412,0.306278,-0.250148,133,600,36.000000,0.469844,588.000000,0.202340,-0.010318
601318,is,mom,1437,-0.403412,-0.306617,-0.557667,97,1437,-161.000000,-0.093556,1437.000000,0.758179,-0.814446
601318,oos,mom,600,0.423062,0.656742,-0.298953,35,600,96.000000,0.469844,600.000000,0.202340,0.337062
601318,is,mr,1437,0.072981,0.097737,-0.523376,55,1437,97.000000,-0.093556,613.000000,0.758179,0.405503
601318,oos,mr,600,0.093082,0.187258,-0.234676,20,600,-35.000000,0.469844,273.000000,0.202340,-0.284357
601318,is,bh,1437,-0.375302,-0.099989,-0.660422,1,0,0.000000,0.000000,0.000000,0.000000,0.000000
601318,oos,bh,600,0.446859,0.608361,-0.349180,0,0,0.000000,0.000000,0.000000,0.000000,0.000000
