code,segment,mode,n_days,net_return,sharpe,mdd,trades,ic_n,ic_sx,ic_sy,ic_sxx,ic_syy,ic_sxy
000001,is,v4,1437,-0.228584,-0.093744,-0.483224,325,1437,-75.000000,0.120045,1397.000000,0.950990,0.343637
000001,oos,v4,600,0.166562,0.323798,-0.205353,129,600,-2.000000,0.380246,582.000000,0.130894,0.104935
000001,is,mom,1437,-0.543601,-0.447291,-0.597428,84,1437,-167.000000,0.120045,1437.000000,0.950990,-0.667667
000001,oos,mom,600,0.042484,0.082127,-0.199531,48,600,38.000000,0.380246,600.000000,0.130894,-0.188272
000001,is,mr,1437,0.783158,0.421621,-0.494433,47,1437,89.000000,0.120045,643.000000,0.950990,-0.262744
000001,oos,mr,600,0.309118,0.692589,-0.170692,19,600,-21.000000,0.380246,205.000000,0.130894,-0.041424
000001,is,bh,1437,-0.291803,0.005887,-0.684980,1,0,0.000000,0.000000,0.000000,0.000000,0.000000
000001,oos,bh,600,0.370817,0.595882,-0.197933,0,0,0.000000,0.000000,0.000000,0.000000,0.000000
000333,is,v4,1397,0.163984,0.176691,-0.491652,309,1397,-6.000000,0.758875,1376.000000,1.296134,-0.002840
000333,oos,v4,600,0.108701,0.216397,-0.188424,138,600,76.000000,0.644703,592.000000,0.161430,-0.125887
000333,is,mom,1397,-0.151957,-0.003127,-0.559585,93,1397,-15.000000,0.758875,1397.000000,1.296134,-0.630514
000333,oos,mom,600,0.185528,0.357033,-0.227285,31,600,58.000000,0.644703,600.000000,0.161430,-0.110682
000333,is,mr,1397,1.335116,0.557752,-0.492955,56,1397,-62.000000,0.758875,546.000000,1.296134,1.181340
000333,oos,mr,600,0.376559,0.804324,-0.129381,19,600,-127.000000,0.644703,237.000000,0.161430,0.216616
000333,is,bh,1397,0.150525,0.252033,-0.702008,1,0,0.000000,0.000000,0.000000,0.000000,0.000000
000333,oos,bh,600,0.757734,0.964360,-0.179448,0,0,0.000000,0.000000,0.000000,0.000000,0.000000
000858,is,v4,1437,0.743788,0.395420,-0.556093,309,1437,14.000000,1.577639,1416.000000,1.463172,1.483542
000858,oos,v4,600,-0.087383,-0.164958,-0.231547,123,600,-92.000000,-0.442761,586.000000,0.202576,0.530986
000858,is,mom,1437,1.800161,0.637072,-0.443976,84,1437,-23.000000,1.577639,1437.000000,1.463172,0.778188
000858,oos,mom,600,-0.184092,-0.462463,-0.267686,34,600,-156.000000,-0.442761,600.000000,0.202576,0.295696
000858,is,mr,1437,-0.089430,0.082661,-0.609966,47,1437,-49.000000,1.577639,667.000000,1.463172,0.005587
000858,oos,mr,600,-0.202770,-0.392172,-0.430650,16,600,108.000000,-0.442761,268.000000,0.202576,-0.358369
000858,is,bh,1437,1.363889,0.510908,-0.637507,1,0,0.000000,0.000000,0.000000,0.000000,0.000000
000858,oos,bh,600,-0.418787,-0.706077,-0.530148,0,0,0.000000,0.000000,0.000000,0.000000,0.000000
600036,is,v4,1437,-0.270696,-0.120311,-0.528438,333,1437,18.000000,0.598202,1406.000000,0.985788,-1.012326
600036,oos,v4,600,0.411599,0.770783,-0.182638,127,600,60.000000,0.527182,586.000000,0.121558,0.377579
600036,is,mom,1437,-0.493816,-0.344759,-0.574162,94,1437,-19.000000,0.598202,1437.000000,0.985788,-0.489414
600036,oos,mom,600,0.282891,0.550856,-0.177492,38,600,114.000000,0.527182,600.000000,0.121558,-0.034491
600036,is,mr,1437,1.167100,0.543938,-0.388977,53,1437,-30.000000,0.598202,576.000000,0.985788,0.382915
600036,oos,mr,600,0.200957,0.521139,-0.178866,20,600,-31.000000,0.527182,247.000000,0.121558,-0.083598
600036,is,bh,1437,0.136031,0.212321,-0.589796,1,0,0.000000,0.000000,0.000000,0.000000,0.000000
600036,oos,bh,600,0.594571,0.892369,-0.204068,0,0,0.000000,0.000000,0.000000,0.000000,0.000000
600519,is,v4,1437,0.135319,0.149177,-0.514117,319,1437,84.000000,1.758922,1398.000000,0.999511,1.292709
600519,oos,v4,600,-0.137004,-0.332830,-0.255031,143,600,-61.000000,-0.214163,589.000000,0.146882,0.138041
600519,is,mom,1437,1.467101,0.622927,-0.401147,93,1437,97.000000,1.758922,1437.000000,0.999511,0.767649
600519,oos,mom,600,-0.487107,-2.064592,-0.487304,41,600,-84.000000,-0.214163,600.000000,0.146882,-0.667337
600519,is,mr,1437,0.569388,0.347186,-0.385940,41,1437,-142.000000,1.758922,572.000000,0.999511,-0.213986
600519,oos,mr,600,0.450111,0.768111,-0.183249,28,600,77.000000,-0.214163,217.000000,0.146882,0.528345
600519,is,bh,1437,2.478102,0.683873,-0.513599,1,0,0.000000,0.000000,0.000000,0.000000,0.000000
600519,oos,bh,600,-0.249237,-0.442416,-0.292310,0,0,0.000000,0.000000,0.000000,0.000000,0.000000
600900,is,v4,1426,-0.497281,-0.754428,-0.545784,362,1426,81.000000,0.984460,1383.000000,0.344842,-1.539856
600900,oos,v4,600,-0.033146,-0.221622,-0.180838,140,600,34.000000,0.256174,592.000000,0.056565,-0.271124
600900,is,mom,1426,0.045384,0.021574,-0.250989,113,1426,206.000000,0.984460,1426.000000,0.344842,-0.863749
600900,oos,mom,600,0.208860,0.585561,-0.121132,29,600,16.000000,0.256174,600.000000,0.056565,0.137840
600900,is,mr,1426,0.195293,0.151541,-0.179800,40,1426,-78.000000,0.984460,446.000000,0.344842,0.411162
600900,oos,mr,600,-0.011502,-0.174336,-0.185486,19,600,-42.000000,0.256174,254.000000,0.056565,-0.007201
600900,is,bh,1426,1.269285,0.628928,-0.246684,1,0,0.000000,0.000000,0.000000,0.000000,0.000000
600900,oos,bh,600,0.255966,0.568368,-0.156778,0,0,0.000000,0.000000,0.000000,0.000000,0.000000
601012,is,v4,1431,1.586150,0.596615,-0.496882,309,1431,7.000000,1.506878,1407.000000,1.361167,1.330740
601012,oos,v4,600,-0.200681,-0.254367,-0.338060,142,600,-28.000000,-0.382859,576.000000,0.384101,-0.220854
601012,is,mom,1431,2.098865,0.684061,-0.488259,83,1431,15.000000,1.506878,1431.000000,1.361167,1.657628
601012,oos,mom,600,-0.212871,-0.273615,-0.361332,37,600,-60.000000,-0.382859,600.000000,0.384101,0.801841
601012,is,mr,1431,-0.650136,-0.460934,-0.748286,40,1431,-49.000000,1.506878,627.000000,1.361167,-1.477513
601012,oos,mr,600,-0.242588,-0.383649,-0.353353,19,600,74.000000,-0.382859,236.000000,0.384101,-0.106946
601012,is,bh,1431,1.255507,0.495234,-0.717311,1,0,0.000000,0.000000,0.000000,0.000000,0.000000
601012,oos,bh,600,-0.436428,-0.449913,-0.454386,0,0,0.000000,0.000000,0.000000,0.000000,0.000000
601318,is,v4,1437,-0.579318,-0.589046,-0.594325,331,1437,-104.000000,-0.093556,1414.000000,0.758179,-0.416506
601318,oos,v4,600,0.020111,0.063521,-0.297221,133,600,36.000000,0.469844,588.000000,0.202340,-0.010318
601318,is,mom,1437,-0.458330,-0.373285,-0.589824,97,1437,-161.000000,-0.093556,1437.000000,0.758179,-0.814446
601318,oos,mom,600,0.373654,0.594020,-0.305459,35,600,96.000000,0.469844,600.000000,0.202340,0.337062
601318,is,mr,1437,0.015523,0.060190,-0.527218,55,1437,97.000000,-0.093556,613.000000,0.758179,0.405503
601318,oos,mr,600,0.071372,0.136898,-0.236218,20,600,-35.000000,0.469844,273.000000,0.202340,-0.284357
601318,is,bh,1437,-0.375771,-0.100349,-0.660422,1,0,0.000000,0.000000,0.000000,0.000000,0.000000
601318,oos,bh,600,0.446859,0.608361,-0.349180,0,0,0.000000,0.000000,0.000000,0.000000,0.000000
